,Unnamed: 0,text,labels,txt_len
0,0,"Identification of APC2 , a homologue of the adenomatous polyposis coli tumour suppressor .",O O O O O O O O B I I I O O,32
1,1,"The adenomatous polyposis coli ( APC ) tumour - suppressor protein controls the Wnt signalling pathway by forming a complex with glycogen synthase kinase 3beta ( GSK - 3beta ) , axin / conductin and betacatenin .",O B I I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
2,2,Complex formation induces the rapid degradation of betacatenin .,O O O O O O O O O,32
3,3,"In colon carcinoma cells , loss of APC leads to the accumulation of betacatenin in the nucleus , where it binds to and activates the Tcf - 4 transcription factor ( reviewed in [ 1 ] [ 2 ] ) .",O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
4,4,"Here , we report the identification and genomic structure of APC homologues .",O O O O O O O O O O O O O,32
5,5,"Mammalian APC2 , which closely resembles APC in overall domain structure , was functionally analyzed and shown to contain two SAMP domains , both of which are required for binding to conductin .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
6,6,"Like APC , APC2 regulates the formation of active betacatenin - Tcf complexes , as demonstrated using transient transcriptional activation assays in APC - / - colon carcinoma cells .",O O O O O O O O O O O O O O O O O O O O O O O O O O B I O O,32
7,7,Human APC2 maps to chromosome 19p13 .,O O O O O O O,32
8,8,3 .,O O,32
9,9,APC and APC2 may therefore have comparable functions in development and cancer .,O O O O O O O O O O O B O,32
10,10,"A common MSH2 mutation in English and North American HNPCC families : origin , phenotypic expression , and sex specific differences in colorectal cancer .",O O O O O O O O O B O O O O O O O O O O O O B I O,32
11,11,"The frequency , origin , and phenotypic expression of a germline MSH2 gene mutation previously identified in seven kindreds with hereditary non - polyposis cancer syndrome ( HNPCC ) was investigated .",O O O O O O O O O O O O O O O O O O O O B I I I I I O B O O O O,32
12,12,The mutation ( A - - > T at nt943 + 3 ) disrupts the 3 splice site of exon 5 leading to the deletion of this exon from MSH2 mRNA and represents the only frequent MSH2 mutation so far reported .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
13,13,"Although this mutation was initially detected in four of 33 colorectal cancer families analysed from eastern England , more extensive analysis has reduced the frequency to four of 52 ( 8 % ) English HNPCC kindreds analysed .",O O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O B O O O,32
14,14,"In contrast , the MSH2 mutation was identified in 10 of 20 ( 50 % ) separately identified colorectal families from Newfoundland .",O O O O O O O O O O O O O O O O O O B O O O O,32
15,15,"To investigate the origin of this mutation in colorectal cancer families from England ( n = 4 ) , Newfoundland ( n = 10 ) , and the United States ( n = 3 ) , haplotype analysis using microsatellite markers linked to MSH2 was performed .",O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
16,16,Within the English and US families there was little evidence for a recent common origin of the MSH2 splice site mutation in most families .,O O O O O O O O O O O O O O O O O O O O O O O O O,32
17,17,"In contrast , a common haplotype was identified at the two flanking markers ( CA5 and D2S288 ) in eight of the Newfoundland families .",O O O O O O O O O O O O O O O O O O O O O O O O O,32
18,18,These findings suggested a founder effect within Newfoundland similar to that reported by others for two MLH1 mutations in Finnish HNPCC families .,O O O O O O O O O O O O O O O O O O O O B O O,32
19,19,"We calculated age related risks of all , colorectal , endometrial , and ovarian cancers in nt943 + 3 A - - > T MSH2 mutation carriers ( n = 76 ) for all patients and for men and women separately .",O O O O O O O O B I I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
20,20,"For both sexes combined , the penetrances at age 60 years for all cancers and for colorectal cancer were 0 .",O O O O O O O O O O O O O B O O B I O O O,32
21,21,86 and 0 .,O O O O,32
22,22,"57 , respectively .",O O O O,32
23,23,"The risk of colorectal cancer was significantly higher ( p < 0 . 01 ) in males than females ( 0 . 63 v 0 . 30 and 0 . 84 v 0 . 44 at ages 50 and 60 years , respectively ) .",O O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
24,24,For females there was a high risk of endometrial cancer ( 0 . 5 at age 60 years ) and premenopausal ovarian cancer ( 0 . 2 at 50 years ) .,O O O O O O O O B I O O O O O O O O O O B I I O O O O O O O O O,32
25,25,These intersex differences in colorectal cancer risks have implications for screening programmes and for attempts to identify colorectal cancer susceptibility modifiers .,O O O O B I O O O O O O O O O O O B I O O O,32
26,26,Age of onset in Huntington disease : sex specific influence of apolipoprotein E genotype and normal CAG repeat length .,O O O O B I O O O O O O O O O O O O O O,32
27,27,Age of onset ( AO ) of Huntington disease ( HD ) is known to be correlated with the length of an expanded CAG repeat in the HD gene .,O O O O O O O B I O B O O O O O O O O O O O O O O O O B O O,32
28,28,"Apolipoprotein E ( APOE ) genotype , in turn , is known to influence AO in Alzheimer disease , rendering the APOE gene a likely candidate to affect AO in other neurological diseases too .",O O O O O O O O O O O O O O O O B I O O O O O O O O O O O O O B I O O,32
29,29,We therefore determined APOE genotype and normal CAG repeat length in the HD gene for 138 HD patients who were previously analysed with respect to CAG repeat length .,O O O O O O O O O O O O B O O O B O O O O O O O O O O O O,32
30,30,Genotyping for APOE was performed blind to clinical information .,O O O O O O O O O O,32
31,31,"In addition to highlighting the effect of the normal repeat length upon AO in maternally inherited HD and in male patients , we show that the APOE epsilon2epsilon3 genotype is associated with significantly earlier AO in males than in females .",O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O,32
32,32,Such a sex difference in AO was not apparent for any of the other APOE genotypes .,O O O O O O O O O O O O O O O O O,32
33,33,Our findings suggest that subtle differences in the course of the neurodegeneration in HD may allow interacting genes to exert gender specific effects upon AO .,O O O O O O O O O O O B O B O O O O O O O O O O O O,32
34,34,Familial deficiency of the seventh component of complement associated with recurrent bacteremic infections due to Neisseria .,B I I I I I I I O O O B I I I I O,32
35,35,The serum of a 29 - year old woman with a recent episode of disseminated gonococcal infection and a history of meningococcal meningitis and arthritis as a child was found to lack serum hemolytic complement activity .,O O O O O O O O O O O O O O B I I O O O O B I O B O O O O O O O O O O O O,32
36,36,"The seventh component of complement ( C7 ) was not detected by functional or immunochemical assays , whereas other components were normal by hemolytic and immunochemical assessment .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
37,37,"Her fresh serum lacked complement - mediated bactericidal activity against Neisseria gonorrhoeae , but the addition of fresh normal serum or purified C7 restored bactericidal activity as well as hemolytic activity .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
38,38,The absence of functional C7 activity could not be accounted for on the basis of an inhibitor .,O B I I I O O O O O O O O O O O O O,32
39,39,Opsonization and generation of chemotactic activity functioned normally .,O O O O O O O O O,32
40,40,Complete absence of C7 was also found in one sibling who had the clinical syndrome of meningococcal meningitis and arthritis as a child and in this siblings clinically well eight - year - old son .,B I I I O O O O O O O O O O O O B I O B O O O O O O O O O O O O O O O O,32
41,41,HLA histocompatibility typing of the family members did not demonstrate evidence for genetic linkage of C7 deficiency with the major histocompatibility loci .,O O O O O O O O O O O O O O O B I O O O O O O,32
42,42,This report represents the first cases of C7 deficiency associated with infectious complications and suggests that bactericidal activity may be important in host defense against bacteremic neisseria infections .,O O O O O O O B I O O O O O O O O O O O O O O O O B I I O,32
43,43,Increased incidence of cancer in patients with cartilage - hair hypoplasia .,O O O B O O O B I I I O,32
44,44,OBJECTIVE Previous reports have suggested an increased risk of cancer among patients with cartilage - hair hypoplasia ( CHH ) .,O O O O O O O O O B O O O B I I I O B O O,32
45,45,This study was carried out to further evaluate this risk among patients with CHH and their first - degree relatives .,O O O O O O O O O O O O O B O O O O O O O,32
46,46,STUDY DESIGN One hundred twenty - two patients with CHH were identified through 2 countrywide epidemiologic surveys in 1974 and in 1986 .,O O O O O O O O O B O O O O O O O O O O O O O,32
47,47,Their parents and nonaffected siblings were identified through the Population Register Center .,O O O O O O O O O O O O O,32
48,48,This cohort underwent follow - up for cancer incidence through the Finnish Cancer Registry to the end of 1995 .,O O O O O O O B O O O O O O O O O O O O,32
49,49,"RESULTS A statistically significant excess risk of cancer was seen among the patients with CHH ( standardized incidence ratio 6 . 9 , 95 % confidence interval 2 . 3 to 16 ) , which was mainly attributable to non - Hodgkins lymphoma ( standardized incidence ratio 90 , 95 % confidence interval 18 to 264 ) .",O O O O O O O B O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O B I I I O O O O O O O O O O O O O O O,32
50,50,"In addition , a significant excess risk of basal cell carcinoma was seen ( standardized incidence ratio 35 , 95 % confidence interval 7 . 2 to 102 ) .",O O O O O O O O B I I O O O O O O O O O O O O O O O O O O O,32
51,51,The cancer incidence among the siblings or the parents did not differ from the average cancer incidence in the Finnish population .,O B O O O O O O O O O O O O O B O O O O O O,32
52,52,"CONCLUSIONS This study confirms an increased risk of cancer , especially non - Hodgkins lymphoma , probably attributable to defective immunity , among patients with CHH .",O O O O O O O O B O O B I I I O O O O O O O O O O B O,32
53,53,Genotype and phenotype in patients with dihydropyrimidine dehydrogenase deficiency .,O O O O O O B I I O,32
54,54,Dihydropyrimidine dehydrogenase ( DPD ) deficiency is an autosomal recessive disease characterised by thymine - uraciluria in homozygous deficient patients and has been associated with a variable clinical phenotype .,B I I I I I O O B I I O O O O O O O O O O O O O O O O O O O,32
55,55,"In order to understand the genetic and phenotypic basis for DPD deficiency , we have reviewed 17 families presenting 22 patients with complete deficiency of DPD .",O O O O O O O O O O B I O O O O O O O O O O O B I I O,32
56,56,"In this group of patients , 7 different mutations have been identified , including 2 deletions [ 295 - 298delTCAT , 1897delC ] , 1 splice - site mutation [ IVS14 + 1G > A ) ] and 4 missense mutations ( 85T > C , 703C > T , 2658G > A , 2983G > T ) .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
57,57,"Analysis of the prevalence of the various mutations among DPD patients has shown that the G - - > A point mutation in the invariant splice donor site is by far the most common ( 52 % ) , whereas the other six mutations are less frequently observed .",O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
58,58,"A large phenotypic variability has been observed , with convulsive disorders , motor retardation and mental retardation being the most abundant manifestations .",O O O O O O O O O B I O B I O B I O O O O O O,32
59,59,A clear correlation between the genotype and phenotype has not been established .,O O O O O O O O O O O O O,32
60,60,"An altered beta - alanine , uracil and thymine homeostasis might underlie the various clinical abnormalities encountered in patients with DPD deficiency .",O O O O O O O O O O O O O O B I O O O O B I O,32
61,61,"Fibroblast growth factor homologous factor 2 ( FHF2 ) : gene structure , expression and mapping to the Borjeson - Forssman - Lehmann syndrome region in Xq26 delineated by a duplication breakpoint in a BFLS - like patient .",O O O O O O O O O O O O O O O O O O B I I I I I O O O O O O O O O O B O O O O,32
62,62,"Borjeson - Forssman - Lehmann syndrome ( BFLS ) is a syndromal X - linked mental retardation , which maps by linkage to the q26 region of the human X chromosome .",B I I I I I O B O O O O B I I I I O O O O O O O O O O O O O O O,32
63,63,"We have identified a male patient with BFLS - like features and a duplication , 46 , Y , dup ( X ) ( q26q28 ) , inherited from his phenotypically normal mother .",O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O,32
64,64,Fluorescence in situ hybridisation using yeast artificial chromosome clones from Xq26 localised the duplication breakpoint to an approximately 400 - kb interval in the Xq26 .,O O O O O O O O O O O O O O O O O O O O O O O O O O,32
65,65,3 region between DXS155 and DXS294 / DXS730 .,O O O O O O O O O,32
66,66,"Database searches and analysis of available genomic DNA sequence from the region revealed the presence of the fibroblast growth factor homologous factor gene , FHF2 , within the duplication breakpoint interval .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
67,67,"The gene structure of FHF2 was determined and two new exons were identified , including a new 5 end exon , 1B .",O O O O O O O O O O O O O O O O O O O O O O O,32
68,68,FHF2 is a large gene extending over approximately 200 kb in Xq26 .,O O O O O O O O O O O O O,32
69,69,3 and is composed of at least seven exons .,O O O O O O O O O O,32
70,70,It shows tissue - specific alternative splicing and alternative transcription starts .,O O O O O O O O O O O O,32
71,71,Northern blot hybridisation showed highest expression in brain and skeletal muscle .,O O O O O O O O O O O O,32
72,72,The FHF2 gene localisation and tissue - specific expression pattern suggest it to be a candidate gene for familial cases of the BFLS syndrome and other syndromal and non - specific forms of X - linked mental retardation mapping to the region .,O O O O O O O O O O O O O O O O O O O O O O B I O O O O O O O O O B I I I I O O O O O,32
73,73,Germline E - cadherin gene ( CDH1 ) mutations predispose to familial gastric cancer and colorectal cancer .,O O O O O O O O O O O B I I O B I O,32
74,74,Inherited mutations in the E - cadherin gene ( CDH1 ) were described recently in three Maori kindreds with familial gastric cancer .,O O O O O O O O O O O O O O O O O O O B I I O,32
75,75,Familial gastric cancer is genetically heterogeneous and it is not clear what proportion of gastric cancer susceptibility in non - Maori populations is due to germline CDH1 mutations .,B I I O O O O O O O O O O O B I O O O O O O O O O O O O O,32
76,76,"Therefore , we screened eight familial gastric cancer kindreds of British and Irish origin for germline CDH1 mutations , by SSCP analysis of all 16 exons and flanking sequences .",O O O O O B I I O O O O O O O O O O O O O O O O O O O O O O,32
77,77,Each family contained ( i ) two cases of gastric cancer in first degree relatives with one affected before age 50 years ; or ( ii ) three or more cases of gastric cancer .,O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O B I O,32
78,78,Novel germline CDH1 mutations ( a nonsense and a splice site ) were detected in two families ( 25 % ) .,O O O O O O O O O O O O O O O O O O O O O O,32
79,79,Both mutations were predicted to truncate the E - cadherin protein in the signal peptide domain .,O O O O O O O O O O O O O O O O O,32
80,80,"In one family there was evidence of non - penetrance and susceptibility to both gastric and colorectal cancer ; thus , in addition to six cases of gastric cancer , a CDH1 mutation carrier developed colorectal cancer at age 30 years .",O O O O O O O O O O O O O O B I I I O O O O O O O O O B I O O O O O O B I O O O O O,32
81,81,We have confirmed that germline mutations in the CDH1 gene cause familial gastric cancer in non - Maori populations .,O O O O O O O O O O O B I I O O O O O O,32
82,82,"However , only a minority of familial gastric cancers can be accounted for by CDH1 mutations .",O O O O O O O B I O O O O O O O O,32
83,83,"Loss of E - cadherin function has been implicated in the pathogenesis of sporadic colorectal and other cancers , and our findings provide evidence that germline CDH1 mutations predispose to early onset colorectal cancer .",O O O O O O O O O O O O O O B I I I O O O O O O O O O O O O O O B I O,32
84,84,"Thus , CDH1 should be investigated as a cause of inherited susceptibility to both gastric and colorectal cancers .",O O O O O O O O O O O O O O B I I I O,32
85,85,A zinc finger truncation of murine WT1 results in the characteristic urogenital abnormalities of Denys - Drash syndrome .,O O O O O O O O O O O B I O B I I I O,32
86,86,"The Wilms tumor - suppressor gene , WT1 , plays a key role in urogenital development , and WT1 dysfunction is implicated in both neoplastic ( Wilms tumor , mesothelioma , leukemias , and breast cancer ) and nonneoplastic ( glomerulosclerosis ) disease .",O B I O O O O O O O O O O O O O O O B I O O O O B O B I O B O B O O B I O O B O B O O O,32
87,87,"The analysis of diseases linked specifically with WT1 mutations , such as Denys - Drash syndrome ( DDS ) , can provide valuable insight concerning the role of WT1 in development and disease .",O O O O O O O O O O O O B I I I O B O O O O O O O O O O O O O O O O,32
88,88,"DDS is a rare childhood disease characterized by a nephropathy involving mesangial sclerosis , XY pseudohermaphroditism , and / or Wilms tumor ( WT ) .",B O O O O O O O O B O B I O O B O O O O B I O B O O,32
89,89,"DDS patients are constitutionally heterozygous for exonic point mutations in WT1 , which include mutations predicted to truncate the protein within the C - terminal zinc finger ( ZF ) region .",B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
90,90,"We report that heterozygosity for a targeted murine Wt1 allele , Wt1 ( tmT396 ) , which truncates ZF3 at codon 396 , induces mesangial sclerosis characteristic of DDS in adult heterozygous and chimeric mice .",O O O O O O O O O O O O O O O O O O O O O O O O B I O O B O O O O O O O,32
91,91,"Male genital defects also were evident and there was a single case of Wilms tumor in which the transcript of the nontargeted allele showed an exon 9 skipping event , implying a causal link between Wt1 dysfunction and Wilms tumorigenesis in mice .",B I I O O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O B I O B I O O O,32
92,92,"However , the mutant WT1 ( tmT396 ) protein accounted for only 5 % of WT1 in both heterozygous embryonic stem cells and the WT .",O O O O O O O O O O O O O O O O O O O O O O O O B O,32
93,93,This has implications regarding the mechanism by which the mutant allele exerts its effect .,O O O O O O O O O O O O O O O,32
94,94,Mechanism of increased iron absorption in murine model of hereditary hemochromatosis : increased duodenal expression of the iron transporter DMT1 .,O O O O O O O O O B I O O O O O O O O O O,32
95,95,Hereditary hemochromatosis ( HH ) is a common autosomal recessive disorder characterized by tissue iron deposition secondary to excessive dietary iron absorption .,B I O B O O O O B I I O O O O O O O O O O O O,32
